Student_ID,Subject,Exam_Score,Homework_Completion_pct,Full_Name,Grade_Level,Attendance_Rate_%,Overall_Attendance_Rate_%,Homework_Done_Rate_%
S00002,Arabic,69.0,-5.0,John Stafford,Grade 5,28.6,44.0,0.0
S00002,History,98.0,90.0,John Stafford,Grade 5,100.0,44.0,0.0
S00003,History,63.0,-5.0,Chad Harper,Grade 3,25.0,20.0,0.0
S00004,English,106.0,-5.0,Anthony Martin,Grade 5,25.0,16.7,40.0
S00004,History,59.0,90.0,Anthony Martin,Grade 5,100.0,16.7,40.0
S00005,Arabic,71.0,-5.0,Mary Stone,Grade 3,0.0,27.6,50.0
S00005,English,78.0,90.0,Mary Stone,Grade 3,0.0,27.6,50.0
S00005,History,78.0,80.0,Mary Stone,Grade 3,60.0,27.6,50.0
S00005,Math,65.33333333333333,60.0,Mary Stone,Grade 3,50.0,27.6,50.0
S00006,English,79.0,-5.0,Joe Wells,Grade 2,20.0,15.0,20.0
S00006,History,50.0,100.0,Joe Wells,Grade 2,0.0,15.0,20.0
S00007,Geography,99.0,100.0,Margaret Nixon,Grade 4,25.0,31.0,16.7
S00007,History,66.0,47.5,Margaret Nixon,Grade 4,0.0,31.0,16.7
S00007,Math,66.0,95.0,Margaret Nixon,Grade 4,60.0,31.0,16.7
S00008,Arabic,90.0,95.0,James Wheeler,Grade 1,25.0,23.5,27.3
S00008,Math,103.0,80.0,James Wheeler,Grade 1,40.0,23.5,27.3
S00009,Geography,99.0,-5.0,Benjamin Cook,Grade 4,50.0,25.6,20.0
S00010,Arabic,81.0,90.0,Aaron Callahan,Grade 4,40.0,23.3,0.0
S00010,Geography,110.0,90.0,Aaron Callahan,Grade 4,33.3,23.3,0.0
S00010,History,53.0,100.0,Aaron Callahan,Grade 4,16.7,23.3,0.0
S00010,Math,84.66666666666667,58.333333333333336,Aaron Callahan,Grade 4,33.3,23.3,0.0
S00011,English,63.0,-5.0,christopher church,Grade 1,37.5,25.7,50.0
S00011,History,71.0,100.0,christopher church,Grade 1,0.0,25.7,50.0
S00011,Math,68.0,86.66666666666667,christopher church,Grade 1,0.0,25.7,50.0
S00012,English,43.0,95.0,Jonathan Solis,Grade 1,33.3,27.6,0.0
S00012,Geography,79.0,37.5,Jonathan Solis,Grade 1,28.6,27.6,0.0
S00012,History,71.0,80.0,Jonathan Solis,Grade 1,11.1,27.6,0.0
S00013,Science,64.5,97.5,Robert Sanders,Grade 2,20.0,15.4,25.0
S00014,Arabic,86.5,45.0,Melanie Gilmore,Grade 4,42.9,31.2,50.0
S00014,Science,72.0,61.666666666666664,Melanie Gilmore,Grade 4,33.3,31.2,50.0
S00015,Geography,93.0,-5.0,Alexandria Wallace,Grade 2,25.0,16.0,0.0
S00016,English,60.0,90.0,Ann Wilkerson,Grade 3,25.0,29.4,20.0
S00017,Arabic,68.5,90.0,Kelly Delgado,Grade 2,25.0,37.0,0.0
S00018,English,53.0,100.0,Michael Baker,Grade 1,80.0,38.5,50.0
S00018,History,42.0,95.0,Michael Baker,Grade 1,66.7,38.5,50.0
S00019,English,49.0,80.0,Jennifer Adams,Grade 4,0.0,31.2,60.0
S00019,History,42.0,-5.0,Jennifer Adams,Grade 4,0.0,31.2,60.0
S00019,Math,72.5,97.5,Jennifer Adams,Grade 4,66.7,31.2,60.0
S00020,English,80.0,85.0,Elizabeth Lopez,Grade 3,25.0,17.6,50.0
S00020,Geography,57.0,80.0,Elizabeth Lopez,Grade 3,20.0,17.6,50.0
S00020,Math,74.0,100.0,Elizabeth Lopez,Grade 3,20.0,17.6,50.0
S00021,Arabic,86.0,-5.0,Patricia Atkins,Grade 5,50.0,29.0,50.0
S00021,History,74.0,95.0,Patricia Atkins,Grade 5,25.0,29.0,50.0
S00022,English,60.0,85.0,Justin Wright,Grade 2,60.0,25.0,100.0
S00022,Geography,50.0,90.0,Justin Wright,Grade 2,28.6,25.0,100.0
S00023,Arabic,42.0,80.0,Justin Sandoval,Grade 1,20.0,23.1,0.0
S00023,English,41.0,-5.0,Justin Sandoval,Grade 1,50.0,23.1,0.0
S00023,Science,82.0,-5.0,Justin Sandoval,Grade 1,0.0,23.1,0.0
S00024,English,71.0,45.0,Kimberly Massey,Grade 3,20.0,23.5,50.0
S00024,Math,69.0,90.0,Kimberly Massey,Grade 3,66.7,23.5,50.0
S00025,Geography,52.0,-5.0,Theresa Marsh,Grade 2,12.5,17.2,0.0
S00025,Math,79.0,90.0,Theresa Marsh,Grade 2,0.0,17.2,0.0
S00026,English,44.0,-5.0,Todd Noble,Grade 3,12.5,11.8,0.0
S00027,Arabic,108.0,95.0,Jonathan Cline,Grade 3,60.0,38.7,40.0
S00028,Arabic,52.0,80.0,Diana Fitzpatrick,Grade 5,0.0,35.5,14.3
S00028,English,80.0,95.0,Diana Fitzpatrick,Grade 5,57.1,35.5,14.3
S00028,Geography,57.0,85.0,Diana Fitzpatrick,Grade 5,75.0,35.5,14.3
S00029,Geography,65.0,90.0,brandi winters,Grade 3,40.0,28.1,40.0
S00030,English,81.0,100.0,Vincent Harrison,Grade 3,12.5,30.6,33.3
S00030,Geography,94.0,90.0,Vincent Harrison,Grade 3,50.0,30.6,33.3
S00030,History,63.0,95.0,Vincent Harrison,Grade 3,20.0,30.6,33.3
S00030,Math,60.5,37.5,Vincent Harrison,Grade 3,20.0,30.6,33.3
S00032,Geography,80.5,97.5,Katherine Chang,Grade 4,0.0,13.9,66.7
S00033,Geography,66.0,80.0,Kenneth Levine,Grade 1,20.0,12.0,0.0
S00034,Geography,96.0,90.0,Melissa Cohen,Grade 1,50.0,16.0,100.0
S00034,History,94.0,37.5,Melissa Cohen,Grade 1,0.0,16.0,100.0
S00034,Math,87.0,-5.0,Melissa Cohen,Grade 1,0.0,16.0,100.0
S00035,Arabic,44.0,-5.0,Pamela Lambert,Grade 2,50.0,34.5,60.0
S00035,Science,77.0,100.0,Pamela Lambert,Grade 2,50.0,34.5,60.0
S00036,English,48.5,42.5,James Stewart,Grade 3,33.3,22.9,25.0
S00036,Geography,86.0,95.0,James Stewart,Grade 3,33.3,22.9,25.0
S00037,Arabic,92.0,95.0,Rebecca Barr,Grade 1,40.0,21.2,0.0
S00037,Math,88.0,80.0,Rebecca Barr,Grade 1,25.0,21.2,0.0
S00038,Arabic,60.0,90.0,Brandi Carroll,Grade 1,0.0,25.8,57.1
S00038,Geography,105.0,90.0,Brandi Carroll,Grade 1,0.0,25.8,57.1
S00039,Geography,61.0,100.0,Jordan Jenkins,Grade 1,14.3,22.2,33.3
S00039,Science,70.0,80.0,Jordan Jenkins,Grade 1,0.0,22.2,33.3
